dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,BalancedRandomForest,macro_f1,0.4009887594,0.0021717521,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.3980506668222756, 0.40338314967936, 0.4028819685666436, 0.40164267577706736, 0.4021150728998393, 0.39933007827093, 0.403689082163137, 0.4017012698857415, 0.3989504341830775, 0.3981431954583416]"
unsw,BalancedRandomForest,weighted_f1,0.7040363723,0.0008275087,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7026084747188341, 0.7052671945858261, 0.7044560985428004, 0.7044276209229854, 0.7040250503672454, 0.7035839955628925, 0.7051257877449498, 0.7040736406667744, 0.7035872308506327, 0.7032086288177002]"
unsw,BalancedRandomForest,mcc,0.5808906848,0.0008646734,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5802301517458308, 0.5811544593207925, 0.5814902644899302, 0.5799056072540704, 0.5801065951173413, 0.5812990516140832, 0.5823643611464546, 0.5816775661839209, 0.5809364229924666, 0.5797423683840436]"
unsw,BalancedRandomForest,log_loss,0.9601369018,0.0066875456,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9624872615557415, 0.9604776665782534, 0.9699602144285018, 0.9561761871972507, 0.9539203448940945, 0.9611863588666305, 0.9463928586436957, 0.9609182028089224, 0.9671132511538109, 0.9627366719676372]"
unsw,BalancedRandomForest,macro_roc_auc_ovr,0.9437878494,0.0002260477,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9436775137491491, 0.9438248366445368, 0.9440292350386341, 0.9435422013203019, 0.943492708166854, 0.9441419707903517, 0.9438155346289758, 0.9437646730414485, 0.9440334607531016, 0.9435563602929926]"
unsw,BalancedRandomForest,macro_pr_auc_ovr,0.4930330111,0.0039414416,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.4866590714612807, 0.4935902464948435, 0.49170685046174045, 0.4958921726832413, 0.49734943548405813, 0.4951885453213952, 0.48671779008380484, 0.49775326337197595, 0.4914466219118022, 0.49402611407474284]"
unsw,BalancedRandomForest,attack_pr_auc,0.9682406125,0.0014710070,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9687808550593996, 0.9705080900190333, 0.9667565156344108, 0.9675513913580233, 0.9675204879063168, 0.9699511556342286, 0.9692941345384953, 0.9685433606919531, 0.9656836913153309, 0.9678164426929693]"
unsw,BalancedRandomForest,default_attack_recall,0.9968719668,0.0002015892,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.996757257566399, 0.9968675549280861, 0.9969778522897732, 0.9964704844260125, 0.9967351980940616, 0.9969116738727609, 0.9969116738727609, 0.9968013765110738, 0.9971984470131474, 0.9970881496514603]"
unsw,BalancedRandomForest,false_alerts_per_10000_benign,4232.5405405405,1.8161590153,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[4231.891891891892, 4230.810810810811, 4231.081081081081, 4234.054054054054, 4233.783783783784, 4231.891891891892, 4231.891891891892, 4236.756756756757, 4231.621621621622, 4231.621621621622]"
unsw,BalancedRandomForest,attack_recall_at_validation_1pct_fpr,0.7680159711,0.0238481410,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7645371922703609, 0.789707050207359, 0.7121900644136592, 0.7691035030442072, 0.7932806847260213, 0.7724565428394953, 0.7661475337509926, 0.7944498367599047, 0.7596841083561281, 0.7586031942115945]"
unsw,BalancedRandomForest,attack_precision_at_validation_1pct_fpr,0.9622782956,0.0055503116,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9674519874944172, 0.9652448231233822, 0.9690248221628598, 0.9576455077320295, 0.9555201275408529, 0.9671868526446623, 0.9651789684304135, 0.9547720042417815, 0.9563189025575518, 0.9644389600919876]"
