dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,BalancedRandomForest,test_fpr_at_validation_1pct_fpr,0.0370027027,0.0063431031,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.031513513513513516, 0.03483783783783784, 0.027891891891891892, 0.04167567567567568, 0.04524324324324324, 0.03210810810810811, 0.03386486486486486, 0.04610810810810811, 0.04251351351351351, 0.03427027027027027]"
unsw,BalancedRandomForest,threshold_false_alerts_per_10000_benign,370.0270270270,63.4310307170,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[315.13513513513516, 348.3783783783784, 278.9189189189189, 416.7567567567568, 452.43243243243245, 321.0810810810811, 338.64864864864865, 461.0810810810811, 425.13513513513516, 342.7027027027027]"
unsw,EasyEnsemble,accuracy,0.5678739737,0.0147483868,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5858961278725161, 0.5644706796871204, 0.5777583442646844, 0.5675436039450031, 0.5900986250789486, 0.5461060098139241, 0.5626002040518875, 0.5622965554098042, 0.5468104746635573, 0.5751591118884516]"
unsw,EasyEnsemble,balanced_accuracy,0.5034986761,0.0212096892,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5109129457790547, 0.5229517716044583, 0.5283791187826437, 0.4786068051510153, 0.4844689604219525, 0.48105742608169033, 0.5292668744314836, 0.4864864997790061, 0.4899918737623209, 0.5228644856164133]"
unsw,EasyEnsemble,macro_precision,0.3648334994,0.0141618796,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.35707482429211523, 0.3825538887588503, 0.3721713479409507, 0.3545868494500731, 0.37154156730060595, 0.3543077488419281, 0.39242922253660895, 0.35527445328767665, 0.35850141083737197, 0.3498936811718363]"
unsw,EasyEnsemble,macro_recall,0.5034986761,0.0212096892,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5109129457790547, 0.5229517716044583, 0.5283791187826437, 0.4786068051510153, 0.4844689604219525, 0.48105742608169033, 0.5292668744314836, 0.4864864997790061, 0.4899918737623209, 0.5228644856164133]"
unsw,EasyEnsemble,macro_f1,0.3292503692,0.0158189144,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.33622810182678997, 0.33967249316548903, 0.3434630815521002, 0.33532208699260374, 0.35180220879338403, 0.298110449544543, 0.3194274185156173, 0.32812333922456005, 0.31258506528417374, 0.32776944731591395]"
unsw,EasyEnsemble,weighted_f1,0.6282887964,0.0111848576,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6371762917745563, 0.6317205791652917, 0.6358992938369904, 0.6280033641778092, 0.6471875117867456, 0.6069931409708484, 0.6247766531468371, 0.6278599268974933, 0.615915984680441, 0.6273552171830562]"
unsw,EasyEnsemble,mcc,0.5004479048,0.0168082274,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5203428430225704, 0.4979812181017383, 0.5094536731648073, 0.4964316690851737, 0.5278039994453456, 0.4757340001586266, 0.4954724392655203, 0.49416157096192487, 0.47734819411514634, 0.5097494403402028]"
unsw,EasyEnsemble,log_loss,2.2960429682,0.0001705651,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2.296085009643274, 2.2961449317675573, 2.2959742545141335, 2.2961308902251867, 2.296226227360587, 2.29601794449693, 2.296028213135884, 2.2958455779608054, 2.2962692539160288, 2.29570737871349]"
unsw,EasyEnsemble,macro_roc_auc_ovr,0.9006912698,0.0036894653,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9005229202313606, 0.8978986433200126, 0.8968791137413682, 0.901159411011424, 0.9034594283199444, 0.9056955431672247, 0.9033382501512575, 0.8935699649372288, 0.9006159498182862, 0.9037734730656866]"
unsw,EasyEnsemble,macro_pr_auc_ovr,0.3871695790,0.0096297542,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.3804133866175047, 0.39654555463968333, 0.38769113181376746, 0.386669837405443, 0.3934793837724875, 0.3690448670092397, 0.3859291253579034, 0.396627130114956, 0.376676071234922, 0.3986193017486103]"
unsw,EasyEnsemble,attack_pr_auc,0.9132686103,0.0202521599,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9230520029462054, 0.9065800116143499, 0.9373970576855551, 0.8994179816592492, 0.8980818740919139, 0.9290202936212666, 0.9033256478794466, 0.9059160292340269, 0.8822400928647272, 0.9476551116061094]"
