dataset,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,raw_weight,macro_recall,0.6432989904,0.0027008424,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6427720430648562, 0.6441916211845263, 0.646934210210011, 0.6426428357677458, 0.6437336916338128, 0.6387374711233683, 0.64040390017401, 0.6445263349864285, 0.6416044821370029, 0.6474433137614575]"
unsw,raw_weight,macro_f1,0.5184559433,0.0019101923,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5214045078129266, 0.5173460579087552, 0.5196614782919504, 0.5196061043833716, 0.5205046506275657, 0.517400824562164, 0.5147357623899216, 0.5182338315336901, 0.5181177498632181, 0.5175484651478207]"
unsw,raw_weight,weighted_f1,0.7396687309,0.0004989453,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7394732947779509, 0.739071194442892, 0.7396860479673062, 0.7398000176221639, 0.739039765065545, 0.7396653490261968, 0.7394181115994992, 0.7406241548047923, 0.7395719724177306, 0.740337400909679]"
unsw,raw_weight,mcc,0.6243268674,0.0006975327,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6242194414980697, 0.6238334321937107, 0.6245907032350714, 0.6246025615126454, 0.6233239508100887, 0.624771534011226, 0.6236563968376235, 0.6256151109332925, 0.6237508581798598, 0.624904684995633]"
unsw,raw_weight,log_loss,0.7559989672,0.0021887950,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7578849447442612, 0.7530425374532911, 0.7589766345738583, 0.7544634795984508, 0.7536511270224733, 0.7579923996751781, 0.7546711466943801, 0.7572236412743463, 0.7578916176247829, 0.754192143624125]"
unsw,raw_weight,macro_roc_auc_ovr,0.9584024842,0.0002583222,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9580351647209726, 0.9584145247491769, 0.95868219651796, 0.9584386986640189, 0.9587536683773104, 0.9583699678246811, 0.958237645570042, 0.9581609109239333, 0.9581762390586676, 0.9587558255337095]"
unsw,raw_weight,macro_pr_auc_ovr,0.5692669517,0.0035864096,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.567356284242783, 0.5692160408633862, 0.5727267152558408, 0.5674645362129497, 0.5751643273261797, 0.5734543867849647, 0.56585949480774, 0.5650909718688963, 0.5707288638221791, 0.5656078963140063]"
unsw,raw_weight,attack_pr_auc,0.9852968313,0.0001188702,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9854555689075485, 0.9853515958452691, 0.9852621801619861, 0.985183468800555, 0.9854482654971327, 0.9852312793795618, 0.9853729119221057, 0.9851774071130682, 0.985116706824113, 0.9853689287865206]"
unsw,raw_weight,default_attack_recall,0.9929056737,0.0003468010,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9929189093796876, 0.993095385158387, 0.9930292067413747, 0.9932939204094238, 0.9928747904350128, 0.9932056825200741, 0.9922791846819025, 0.9930512662137122, 0.9923012441542398, 0.9930071472690373]"
unsw,raw_weight,false_alerts_per_10000_benign,3855.4864864865,9.4856351697,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[3854.054054054054, 3858.108108108108, 3862.4324324324325, 3851.891891891892, 3863.2432432432433, 3867.5675675675675, 3857.837837837838, 3845.945945945946, 3858.9189189189187, 3834.864864864865]"
unsw,raw_weight,attack_recall_at_validation_1pct_fpr,0.8981889173,0.0048852870,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8865040148239655, 0.9028280243536575, 0.8979087620224124, 0.9023868349069091, 0.9003573634518662, 0.8934086296655784, 0.9004456013412159, 0.9006000176475779, 0.8987029030265596, 0.8987470219712345]"
unsw,raw_weight,attack_precision_at_validation_1pct_fpr,0.9593689945,0.0051401597,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9710992436507745, 0.953586989445234, 0.959366456113887, 0.9557710280373832, 0.9572896144103574, 0.964906011007076, 0.9585074907246512, 0.9554858640703988, 0.9577319102919742, 0.9599453371660148]"
unsw,raw_weight,test_fpr_at_validation_1pct_fpr,0.0466648649,0.0063133577,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.032324324324324326, 0.05383783783783784, 0.04659459459459459, 0.05116216216216216, 0.04921621621621622, 0.03981081081081081, 0.04775675675675676, 0.051405405405405405, 0.048594594594594594, 0.04594594594594595]"
unsw,raw_weight,threshold_false_alerts_per_10000_benign,466.6486486486,63.1335770510,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[323.2432432432432, 538.3783783783783, 465.94594594594594, 511.6216216216216, 492.1621621621622, 398.1081081081081, 477.56756756756755, 514.0540540540541, 485.94594594594594, 459.4594594594595]"
unsw,random_over,accuracy,0.7357770976,0.0007319885,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7354491570713696, 0.7366273138026527, 0.7367973570422193, 0.7352912597774863, 0.7351819462663363, 0.7355584705825196, 0.7361050381382694, 0.7361900597580527, 0.7361657678666861, 0.7344046057426031]"
unsw,random_over,balanced_accuracy,0.6280050279,0.0040656366,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6226363822397474, 0.6248931546079333, 0.6317529676773525, 0.6274084071794018, 0.6251073632117021, 0.6262568301602315, 0.6253894356169009, 0.629199599853328, 0.6313367264353751, 0.6360694120832298]"
unsw,random_over,macro_precision,0.5433829782,0.0028902311,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5408666104150803, 0.5405810155932147, 0.54815195786408, 0.5430702954370311, 0.5464413276106093, 0.5415936392828508, 0.5449098384823616, 0.5427398603595088, 0.5394192027305238, 0.5460560346859074]"
unsw,random_over,macro_recall,0.6280050279,0.0040656366,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6226363822397474, 0.6248931546079333, 0.6317529676773525, 0.6274084071794018, 0.6251073632117021, 0.6262568301602315, 0.6253894356169009, 0.629199599853328, 0.6313367264353751, 0.6360694120832298]"
unsw,random_over,macro_f1,0.5219002861,0.0029368120,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5199949453379543, 0.5185716669048439, 0.5259390778580804, 0.5234534522253501, 0.5227347765386969, 0.5192490223936452, 0.5220343614032321, 0.5252403909010859, 0.5174823920818497, 0.5243027750638158]"
